Longitude,Latitude,Elevation (m),Altitude (m),Clutter height (m),Distance (m),PathLoss(db),PathLoss_binned
1.0,0.8021450831100765,0.5,1.0,0.16666666666666669,0.0,135,0.0
0.9999845874669404,0.8031055951668122,0.5,1.0,0.16666666666666669,0.0008841732979664014,129,0.0
0.9999845874669404,0.8031055951668122,0.5,0.8571428571428568,0.16666666666666669,0.0008841732979664014,129,0.0
0.9999691749339377,0.8040661072236617,0.5,0.8571428571428568,0.16666666666666669,0.0017683465959328027,130,0.0
0.9999537624009349,0.8050266192803974,0.5,0.8571428571428568,0.16666666666666669,0.002652519893899204,134,0.0
0.9999383498679322,0.8059871313371332,0.5,0.8571428571428568,0.16666666666666669,0.003536693191865606,116,0.0
0.9986418245442792,0.8059757106470897,0.5,0.8571428571428568,0.16666666666666669,0.004420866489832007,113,0.0
0.9986264120112764,0.8069362227039392,0.5,0.8571428571428568,0.16666666666666669,0.005305039787798407,113,0.0
0.998611143520634,0.8078967347606749,0.5,0.8571428571428568,0.16666666666666669,0.006189213085764809,112,0.0
0.9985957309876312,0.8088572468174107,0.5,0.8571428571428568,0.16666666666666669,0.007073386383731211,115,0.0
0.9985803184546285,0.8098176521388041,0.5,0.8571428571428568,0.16666666666666669,0.007957559681697613,117,0.0
0.9972683805979159,0.8107667435054964,0.5,0.8571428571428568,1.0,0.008841732979664013,115,0.0
0.9972529680649131,0.8117272555622321,0.5,0.8571428571428568,1.0,0.009725906277630415,114,0.0
0.9972375555319104,0.8126877676190816,0.5,0.8571428571428568,1.0,0.010610079575596816,113,0.0
0.9972221429989077,0.8136482796758173,0.5,0.8571428571428568,1.0,0.011494252873563216,117,0.0
0.9959103491846122,0.8145973710425096,0.5,0.8571428571428568,1.0,0.012378426171529618,117,0.0
0.9958949366516094,0.8155578830993591,0.5,0.8571428571428568,1.0,0.01326259946949602,118,0.0
0.9945829987949537,0.8165069744660514,0.5,0.8571428571428568,1.0,0.014146772767462422,123,0.0
0.9945677303043112,0.8174674865227871,0.5,0.8571428571428568,1.0,0.015030946065428824,123,0.0
0.9932557924476555,0.8184165778894794,0.5,0.8571428571428568,1.0,0.015915119363395226,126,0.0
0.9932403799146527,0.8193769832108728,0.5,0.8571428571428568,1.0,0.01679929266136163,133,0.0
0.9919285861003004,0.8203260745774514,0.5,0.8571428571428568,1.0,0.01768346595932803,133,0.0
0.9906166482436447,0.8212751659442574,0.5,0.8571428571428568,1.0,0.019451812555260833,141,1.0
0.989320266962352,0.8212637452541003,0.5,0.8571428571428568,1.0,0.019451812555260833,146,2.0
0.9893048544293492,0.8222242573109497,0.5,0.8571428571428568,1.0,0.020335985853227233,137,0.0
0.9880083291056962,0.8222128366209063,0.5,0.8571428571428568,1.0,0.020335985853227233,137,0.0
0.9866965352914008,0.8231619279874849,0.5,0.8571428571428568,1.0,0.022104332449160036,141,1.0
0.985400154010108,0.8231505072974414,0.5,0.8571428571428568,1.0,0.022104332449160036,141,1.0
0.9841036286864551,0.8231390866072843,0.5,0.8571428571428568,1.0,0.022104332449160036,145,2.0
0.9828072474051623,0.8231276659172408,0.5,0.8571428571428568,1.0,0.022988505747126436,145,2.0
0.9814953095484498,0.8240767572839331,0.5,0.8571428571428568,1.0,0.023872679045092837,139,0.0
0.980198928267157,0.8240653365938897,0.5,0.8571428571428568,1.0,0.02475685234305924,140,0.0
0.9789024029435041,0.8240539159038462,0.5,0.8571428571428568,1.0,0.02475685234305924,138,0.0
0.9776060216622113,0.8240424952136891,0.40000000000000036,0.8571428571428568,1.0,0.02564102564102564,138,0.0
0.9763094963385583,0.8240310745236457,0.40000000000000036,0.8571428571428568,1.0,0.02564102564102564,143,1.0
0.9750131150572656,0.8240196538336022,0.40000000000000036,0.8571428571428568,1.0,0.026525198938992044,140,0.0
0.9737165897336126,0.8240083398789011,0.40000000000000036,0.8571428571428568,1.0,0.027409372236958444,140,0.0
0.9724202084523199,0.823996919188744,0.40000000000000036,0.8571428571428568,1.0,0.027409372236958444,139,0.0
0.971123827171084,0.8239854984987005,0.40000000000000036,0.8571428571428568,1.0,0.028293545534924844,140,0.0
0.969827301847431,0.8239740778085434,0.40000000000000036,0.8571428571428568,1.0,0.029177718832891247,140,0.0
0.9685463330991411,0.8230021450617642,0.40000000000000036,0.8571428571428568,1.0,0.029177718832891247,138,0.0
0.9659534264941385,0.8229793036815636,0.40000000000000036,0.8571428571428568,1.0,0.030061892130857647,141,1.0
0.9646569011704855,0.8229678829915201,0.40000000000000036,0.8571428571428568,1.0,0.03094606542882405,141,1.0
0.9633605198891928,0.8229564623014767,0.40000000000000036,0.8571428571428568,1.0,0.031830238726790444,145,2.0
0.9620639945655398,0.8229450416113195,0.40000000000000036,0.8571428571428568,1.0,0.03271441202475685,145,2.0
0.9607830258172498,0.8219731088644266,0.40000000000000036,0.8571428571428568,1.0,0.03271441202475685,143,1.0
0.9594865004935968,0.8219616881743832,0.40000000000000036,0.8571428571428568,1.0,0.03359858532272325,143,1.0
0.9581901192123041,0.8219502674843397,0.40000000000000036,0.8571428571428568,1.0,0.03359858532272325,144,1.0
0.9568937379310682,0.8219388467941826,0.40000000000000036,0.8571428571428568,1.0,0.034482758620689655,144,1.0
0.9555972126073584,0.8219274261041392,0.40000000000000036,0.8571428571428568,1.0,0.03536693191865605,142,1.0
0.9530043060024695,0.8219046914593946,0.40000000000000036,0.8571428571428568,1.0,0.03713527851458886,148,4.0
0.9517079247211768,0.8218932707693511,0.40000000000000036,0.8571428571428568,1.0,0.038019451812555255,147,3.0
0.9504113993975238,0.8218818500793077,0.40000000000000036,0.8571428571428568,1.0,0.038019451812555255,147,3.0
0.9504268119305266,0.8209213380224583,0.40000000000000036,0.8571428571428568,1.0,0.038019451812555255,141,1.0
0.9491304306492339,0.8209099173324148,0.40000000000000036,0.8571428571428568,1.0,0.03890362511052166,141,1.0
0.9478339053255809,0.8208984966422577,0.40000000000000036,0.8571428571428568,1.0,0.03978779840848806,138,0.0
0.9465375240442313,0.8208870759522142,0.40000000000000036,0.8571428571428568,1.0,0.04067197170645446,138,0.0
0.9452409987205783,0.8208756552621708,0.40000000000000036,0.8571428571428568,1.0,0.04067197170645446,135,0.0
0.9439446174392856,0.8208642345720136,0.40000000000000036,0.8571428571428568,1.0,0.04155614500442086,135,0.0
0.9413517108343399,0.820841393191813,0.3000000000000007,0.8571428571428568,1.0,0.04332449160035366,136,0.0
0.940055329553104,0.8208299725017696,0.3000000000000007,0.8571428571428568,1.0,0.044208664898320066,136,0.0
0.9387742167624538,0.8198580397548767,0.3000000000000007,0.8571428571428568,1.0,0.04509283819628647,136,0.0
0.937477835481161,0.8198466190648332,0.3000000000000007,0.7142857142857135,1.0,0.04509283819628647,139,0.0
